original_summary_name,rephrased_summary_name,mbits,original_length,rephrased_length
summary_gpt4o_12_1,summary_gpt4o_72_1,93.11637186494022,552,3030
summary_gpt4o_12_1,summary_gpt4o_11_1,117.38593224596002,552,645
summary_gpt4o_12_1,summary_gpt4o_6_1,68.93071399109999,552,388
summary_gpt4o_12_1,summary_gpt4o_181_1,95.68442524259603,552,2652
summary_gpt4o_12_1,summary_gpt4o_81_1,80.68481821350042,552,2739
summary_gpt4o_12_1,summary_gpt4o_193_1,70.99365356078806,552,6556
summary_gpt4o_12_1,summary_gpt4o_76_1,81.59211630925392,552,2882
summary_gpt4o_12_1,summary_gpt4o_15_1,97.227983114023,552,828
summary_gpt4o_12_1,summary_gpt4o_68_1,104.16188054754002,552,1927
summary_gpt4o_12_1,summary_gpt4o_19_1,103.32903524528,552,884
summary_gpt4o_12_1,summary_gpt4o_64_1,90.26233280368795,552,2483
summary_gpt4o_12_1,summary_gpt4o_52_1,89.13362892323971,552,2113
summary_gpt4o_12_1,summary_gpt4o_31_1,128.02398469933507,552,1221
summary_gpt4o_12_1,summary_gpt4o_140_1,93.74973147169112,552,2344
summary_gpt4o_12_1,summary_gpt4o_40_1,79.82861144442018,552,1951
summary_gpt4o_12_1,summary_gpt4o_23_1,93.52541347965008,552,1001
summary_gpt4o_12_1,summary_gpt4o_189_1,116.19007665560775,552,3213
summary_gpt4o_12_1,summary_gpt4o_185_1,59.81579891447382,552,5430
summary_gpt4o_12_1,summary_gpt4o_85_1,111.27033068399282,552,2360
summary_gpt4o_12_1,summary_gpt4o_187_1,37.11857249347122,552,7899
summary_gpt4o_12_1,summary_gpt4o_78_1,72.24928686568865,552,4135
summary_gpt4o_12_1,summary_gpt4o_66_1,103.40668737603914,552,1977
summary_gpt4o_12_1,summary_gpt4o_17_1,114.18620572234,552,845
summary_gpt4o_12_1,summary_gpt4o_74_1,106.32647145094212,552,3473
summary_gpt4o_12_1,summary_gpt4o_21_1,113.10939507723587,552,1139
summary_gpt4o_12_1,summary_gpt4o_42_1,118.15207125655796,552,1795
summary_gpt4o_12_1,summary_gpt4o_33_1,122.04585877555996,552,1299
summary_gpt4o_12_1,summary_gpt4o_50_1,118.23410314139484,552,2236
summary_gpt4o_12_1,summary_gpt4o_150_1,114.29595489689405,552,1862
summary_gpt4o_63_1,summary_gpt4o_71_1,540.69689894052,2295,2913
summary_gpt4o_63_1,summary_gpt4o_12_1,124.064115329716,2295,606
summary_gpt4o_63_1,summary_gpt4o_63_1,1101.4590082747736,2295,2403
summary_gpt4o_63_1,summary_gpt4o_100_1,567.5318121590027,2295,2915
summary_gpt4o_63_1,summary_gpt4o_28_1,294.96570771893374,2295,1243
summary_gpt4o_63_1,summary_gpt4o_55_1,419.473029252286,2295,2756
summary_gpt4o_63_1,summary_gpt4o_36_1,313.98105745275507,2295,1547
summary_gpt4o_63_1,summary_gpt4o_47_1,452.2785270298982,2295,2011
summary_gpt4o_63_1,summary_gpt4o_24_1,234.2723615432104,2295,1052
summary_gpt4o_63_1,summary_gpt4o_59_1,497.652610533464,2295,2094
summary_gpt4o_63_1,summary_gpt4o_90_1,470.2086774798677,2295,2408
summary_gpt4o_63_1,summary_gpt4o_190_1,534.9162752234288,2295,3049
summary_gpt4o_63_1,summary_gpt4o_182_1,555.5340020047479,2295,6567
summary_gpt4o_63_1,summary_gpt4o_82_1,497.0931141990545,2295,3090
summary_gpt4o_63_1,summary_gpt4o_5_1,79.02293662899996,2295,347
summary_gpt4o_63_1,summary_gpt4o_9_1,145.11359292631002,2295,555
summary_gpt4o_63_1,summary_gpt4o_180_1,546.7972422728044,2295,3334
summary_gpt4o_63_1,summary_gpt4o_80_1,508.49602542875186,2295,3176
summary_gpt4o_63_1,summary_gpt4o_192_1,505.1309336728515,2295,2631
summary_gpt4o_63_1,summary_gpt4o_7_1,65.69672381026297,2295,382
summary_gpt4o_63_1,summary_gpt4o_61_1,546.4141247861298,2295,2542
summary_gpt4o_63_1,summary_gpt4o_110_1,522.941029379728,2295,3495
summary_gpt4o_63_1,summary_gpt4o_10_1,94.478294182868,2295,562
summary_gpt4o_63_1,summary_gpt4o_73_1,496.59128163355217,2295,2434
summary_gpt4o_63_1,summary_gpt4o_26_1,360.01671897496544,2295,1288
summary_gpt4o_63_1,summary_gpt4o_38_1,383.76025544722233,2295,1437
summary_gpt4o_63_1,summary_gpt4o_45_1,413.7128129591639,2295,1886
summary_gpt4o_63_1,summary_gpt4o_34_1,303.5058691298813,2295,1458
summary_gpt4o_63_1,summary_gpt4o_49_1,409.36110819387886,2295,2063
summary_gpt4o_63_1,summary_gpt4o_57_1,468.62600685008897,2295,2195
summary_gpt4o_63_1,summary_gpt4o_3_1,49.93978221630002,2295,222
summary_gpt4o_63_1,summary_gpt4o_184_1,564.9123190216362,2295,3004
summary_gpt4o_63_1,summary_gpt4o_84_1,521.1457720347755,2295,3636
summary_gpt4o_63_1,summary_gpt4o_130_1,574.8310101596246,2295,5111
summary_gpt4o_63_1,summary_gpt4o_30_1,245.8943192519589,2295,1313
summary_gpt4o_63_1,summary_gpt4o_53_1,472.5445476368426,2295,2059
summary_gpt4o_63_1,summary_gpt4o_22_1,320.090773720824,2295,1264
summary_gpt4o_63_1,summary_gpt4o_41_1,407.1857532355368,2295,2233
summary_gpt4o_63_1,summary_gpt4o_69_1,444.2022817329069,2295,2969
summary_gpt4o_63_1,summary_gpt4o_14_1,141.42631695803,2295,674
summary_gpt4o_63_1,summary_gpt4o_77_1,491.735185771897,2295,2412
summary_gpt4o_63_1,summary_gpt4o_65_1,416.6218373616284,2295,2026
summary_gpt4o_63_1,summary_gpt4o_18_1,195.550464743616,2295,768
summary_gpt4o_63_1,summary_gpt4o_43_1,483.8450550422013,2295,2308
summary_gpt4o_63_1,summary_gpt4o_20_1,195.5362779411305,2295,694
summary_gpt4o_63_1,summary_gpt4o_120_1,551.009878446657,2295,3707
summary_gpt4o_63_1,summary_gpt4o_51_1,457.77787842807106,2295,2140
summary_gpt4o_63_1,summary_gpt4o_32_1,336.52847209318674,2295,1291
summary_gpt4o_63_1,summary_gpt4o_67_1,447.2104173389962,2295,2589
summary_gpt4o_63_1,summary_gpt4o_79_1,481.0781040760766,2295,3494
summary_gpt4o_63_1,summary_gpt4o_75_1,582.1612649133017,2295,3110
summary_gpt4o_63_1,summary_gpt4o_16_1,191.88138181755608,2295,889
summary_gpt4o_63_1,summary_gpt4o_186_1,454.4892727773767,2295,8438
summary_gpt4o_63_1,summary_gpt4o_86_1,592.1514719311033,2295,3016
summary_gpt4o_63_1,summary_gpt4o_194_1,501.6261260006636,2295,5161
summary_gpt4o_63_1,summary_gpt4o_4_1,35.64522776808498,2295,330
summary_gpt4o_63_1,summary_gpt4o_8_1,137.3020073354,2295,617
summary_gpt4o_63_1,summary_gpt4o_191_1,468.17965146028746,2295,7015
summary_gpt4o_63_1,summary_gpt4o_183_1,574.4449468102271,2295,3384
summary_gpt4o_63_1,summary_gpt4o_83_1,506.5757551343156,2295,2641
summary_gpt4o_63_1,summary_gpt4o_37_1,396.6465401422779,2295,2012
summary_gpt4o_63_1,summary_gpt4o_54_1,484.60661247382745,2295,2625
summary_gpt4o_63_1,summary_gpt4o_29_1,311.23546604920733,2295,1192
summary_gpt4o_63_1,summary_gpt4o_58_1,518.9075889876646,2295,2431
summary_gpt4o_63_1,summary_gpt4o_25_1,239.70883210077636,2295,1170
summary_gpt4o_63_1,summary_gpt4o_46_1,458.3791872496588,2295,1962
summary_gpt4o_63_1,summary_gpt4o_13_1,175.11582121813802,2295,833
summary_gpt4o_63_1,summary_gpt4o_70_1,505.62034180006617,2295,2792
summary_gpt4o_63_1,summary_gpt4o_170_1,434.7103278072002,2295,4716
summary_gpt4o_63_1,summary_gpt4o_62_1,423.4718868560454,2295,1947
summary_gpt4o_63_1,summary_gpt4o_44_1,418.09542524881954,2295,1696
summary_gpt4o_63_1,summary_gpt4o_39_1,449.3148761551437,2295,2048
summary_gpt4o_63_1,summary_gpt4o_27_1,330.35157561247394,2295,1517
summary_gpt4o_63_1,summary_gpt4o_56_1,494.20111292883416,2295,2221
summary_gpt4o_63_1,summary_gpt4o_48_1,424.3284332598293,2295,2356
summary_gpt4o_63_1,summary_gpt4o_35_1,378.7355940987728,2295,1337
summary_gpt4o_63_1,summary_gpt4o_160_1,547.4977782120404,2295,2963
summary_gpt4o_63_1,summary_gpt4o_60_1,546.826875037486,2295,2457
summary_gpt4o_63_1,summary_gpt4o_72_1,438.0977623992569,2295,3030
summary_gpt4o_63_1,summary_gpt4o_11_1,136.45116821233103,2295,645
summary_gpt4o_63_1,summary_gpt4o_6_1,106.38431733,2295,388
summary_gpt4o_63_1,summary_gpt4o_181_1,569.4012135498907,2295,2652
summary_gpt4o_63_1,summary_gpt4o_81_1,521.2584041190418,2295,2739
summary_gpt4o_63_1,summary_gpt4o_193_1,556.5518786836178,2295,6556
summary_gpt4o_63_1,summary_gpt4o_76_1,552.4135161434311,2295,2882
summary_gpt4o_63_1,summary_gpt4o_15_1,162.1513473606743,2295,828
summary_gpt4o_63_1,summary_gpt4o_68_1,478.44338971716275,2295,1927
summary_gpt4o_63_1,summary_gpt4o_19_1,198.33463670054272,2295,884
