summary_name,excluded_summary_name,text_length,mbits
summary_gpt4o_49_1,summary_gpt4o_23_1,1886,247.63885030232
summary_gpt4o_49_1,summary_gpt4o_66_1,1886,457.515609323343
summary_gpt4o_49_1,summary_gpt4o_42_1,1886,340.06913306297304
summary_gpt4o_49_1,summary_gpt4o_33_1,1886,288.408005346938
summary_gpt4o_3_1,summary_gpt4o_100_1,184,52.848219225799994
summary_gpt4o_3_1,summary_gpt4o_28_1,184,59.51785965670001
summary_gpt4o_3_1,summary_gpt4o_180_1,184,49.85658664207
summary_gpt4o_3_1,summary_gpt4o_73_1,184,50.23745233249999
summary_gpt4o_3_1,summary_gpt4o_38_1,184,40.76159814929999
summary_gpt4o_3_1,summary_gpt4o_49_1,184,57.26945834790001
summary_gpt4o_3_1,summary_gpt4o_69_1,184,58.716343661500005
summary_gpt4o_3_1,summary_gpt4o_18_1,184,49.5678465645
summary_gpt4o_3_1,summary_gpt4o_75_1,184,56.0526187294
summary_gpt4o_3_1,summary_gpt4o_186_1,184,58.872528495900006
summary_gpt4o_3_1,summary_gpt4o_8_1,184,47.6983306491
summary_gpt4o_3_1,summary_gpt4o_83_1,184,55.01736141160001
summary_gpt4o_3_1,summary_gpt4o_54_1,184,60.973471082399996
summary_gpt4o_3_1,summary_gpt4o_13_1,184,60.165860361760004
summary_gpt4o_3_1,summary_gpt4o_170_1,184,45.2392542677
summary_gpt4o_3_1,summary_gpt4o_62_1,184,47.293380646900005
summary_gpt4o_3_1,summary_gpt4o_140_1,184,62.1970504767
summary_gpt4o_3_1,summary_gpt4o_23_1,184,54.2773742992
summary_gpt4o_3_1,summary_gpt4o_66_1,184,59.2604282337
summary_gpt4o_3_1,summary_gpt4o_42_1,184,41.8361282793
summary_gpt4o_3_1,summary_gpt4o_33_1,184,55.50359679339999
summary_gpt4o_69_1,summary_gpt4o_100_1,3022,561.7813840042119
summary_gpt4o_69_1,summary_gpt4o_28_1,3022,274.47356010802224
summary_gpt4o_69_1,summary_gpt4o_180_1,3022,484.4041422090759
summary_gpt4o_69_1,summary_gpt4o_73_1,3022,486.05931139431226
summary_gpt4o_69_1,summary_gpt4o_38_1,3022,302.354487360401
summary_gpt4o_69_1,summary_gpt4o_49_1,3022,409.0736537031311
summary_gpt4o_69_1,summary_gpt4o_3_1,3022,28.719698598927014
summary_gpt4o_69_1,summary_gpt4o_18_1,3022,168.0241902587507
summary_gpt4o_69_1,summary_gpt4o_75_1,3022,462.43449993651694
summary_gpt4o_69_1,summary_gpt4o_186_1,3022,443.2829660618661
summary_gpt4o_69_1,summary_gpt4o_8_1,3022,99.90226432167704
summary_gpt4o_69_1,summary_gpt4o_83_1,3022,544.6705369531679
summary_gpt4o_69_1,summary_gpt4o_54_1,3022,450.704636898671
summary_gpt4o_69_1,summary_gpt4o_13_1,3022,161.00018797356304
summary_gpt4o_69_1,summary_gpt4o_170_1,3022,439.456512831868
summary_gpt4o_69_1,summary_gpt4o_62_1,3022,379.125614744754
summary_gpt4o_69_1,summary_gpt4o_140_1,3022,455.51418973281034
summary_gpt4o_69_1,summary_gpt4o_23_1,3022,220.97675771313502
summary_gpt4o_69_1,summary_gpt4o_66_1,3022,493.90610604161793
summary_gpt4o_69_1,summary_gpt4o_42_1,3022,405.15511085052196
summary_gpt4o_69_1,summary_gpt4o_33_1,3022,294.563072760724
summary_gpt4o_18_1,summary_gpt4o_100_1,737,207.18655313596904
summary_gpt4o_18_1,summary_gpt4o_28_1,737,157.05399062218
summary_gpt4o_18_1,summary_gpt4o_180_1,737,206.24065185165503
summary_gpt4o_18_1,summary_gpt4o_73_1,737,196.91454605691098
summary_gpt4o_18_1,summary_gpt4o_38_1,737,168.34364840886263
summary_gpt4o_18_1,summary_gpt4o_49_1,737,195.20100062637002
summary_gpt4o_18_1,summary_gpt4o_3_1,737,35.45873164373998
summary_gpt4o_18_1,summary_gpt4o_69_1,737,192.61669121620002
summary_gpt4o_18_1,summary_gpt4o_75_1,737,217.44608992394407
summary_gpt4o_18_1,summary_gpt4o_186_1,737,205.6876885167705
