tag,kind,context_id,context_len,target_id,n_keypoints,target_len,mbits,rate
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_22_1,22,1264,121.23268889572591,0.19182387483500934
1000,recall,3,998,summary_gpt4o_22_1,22,1264,113.1094045782321,0.11333607673169549
1000,brief,brief_3,618,summary_gpt4o_22_1,22,1264,101.68951605764836,0.16454614248810415
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_24_1,24,1052,213.97626515749675,0.21946283605897102
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_24_1,24,1052,99.54803704392792,0.1575127168416581
1000,recall,3,998,summary_gpt4o_24_1,24,1052,67.2770932551291,0.06741191708930772
1000,brief,brief_3,618,summary_gpt4o_24_1,24,1052,55.45918986846698,0.08973978943117634
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_25_1,25,1170,209.1337845135497,0.21449618924466635
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_25_1,25,1170,86.15463797561603,0.1363206297082532
1000,recall,3,998,summary_gpt4o_25_1,25,1170,70.82633962670548,0.07096827617906361
1000,brief,brief_3,618,summary_gpt4o_25_1,25,1170,57.12510704397437,0.09243544829122066
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_26_1,26,1288,149.8238437179864,0.1536654807363963
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_26_1,26,1288,70.18429341555998,0.11105109717651895
1000,recall,3,998,summary_gpt4o_26_1,26,1288,89.26245730498908,0.089441339984959
1000,brief,brief_3,618,summary_gpt4o_26_1,26,1288,77.44045423122293,0.12530817836767463
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_27_1,27,1517,224.10526109333648,0.22985154983931946
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_27_1,27,1517,93.24163541417067,0.14753423325027004
1000,recall,3,998,summary_gpt4o_27_1,27,1517,89.47049256205537,0.08964979214634806
1000,brief,brief_3,618,summary_gpt4o_27_1,27,1517,77.62777298586957,0.12561128314865627
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_28_1,28,1243,209.19971517950933,0.2145638104405224
