summary_name,recall_id,text_length,mbits
summary_gpt4o_38_1,59,1430,105.40856584204
summary_gpt4o_38_1,39,1430,65.62992511818
summary_gpt4o_38_1,49,1430,120.41922529233999
summary_gpt4o_38_1,74,1430,58.54780924307999
summary_gpt4o_38_1,44,1430,135.91709700172
summary_gpt4o_38_1,84,1430,111.76095672787999
summary_gpt4o_38_1,89,1430,100.37115820337999
summary_gpt4o_38_1,37,1430,111.13761434773997
summary_gpt4o_38_1,15,1430,170.91035484351
summary_gpt4o_38_1,98,1430,185.13190699722603
summary_gpt4o_49_1,50,1886,4.053817279080004
summary_gpt4o_49_1,43,1886,28.18450430210995
summary_gpt4o_49_1,57,1886,21.103638216959993
summary_gpt4o_49_1,76,1886,24.973236979759974
summary_gpt4o_49_1,36,1886,7.2772366483900015
summary_gpt4o_49_1,26,1886,28.831803146509984
summary_gpt4o_49_1,63,1886,41.396890468939986
summary_gpt4o_49_1,16,1886,7.347958009189979
summary_gpt4o_49_1,24,1886,71.29583226044001
summary_gpt4o_49_1,90,1886,51.425732618629965
summary_gpt4o_49_1,10,1886,49.39307768736999
summary_gpt4o_49_1,77,1886,91.98409138824998
summary_gpt4o_49_1,46,1886,76.12570734966
summary_gpt4o_49_1,78,1886,29.69469442816998
summary_gpt4o_49_1,59,1886,90.78713985271
summary_gpt4o_49_1,39,1886,55.87150367856999
summary_gpt4o_49_1,49,1886,70.93895223890996
summary_gpt4o_49_1,74,1886,39.186395177419996
summary_gpt4o_49_1,44,1886,89.84241910685498
summary_gpt4o_49_1,84,1886,96.59786949132001
summary_gpt4o_49_1,89,1886,96.13420863491997
summary_gpt4o_49_1,37,1886,88.52845926812998
summary_gpt4o_49_1,15,1886,177.00575362582998
summary_gpt4o_49_1,98,1886,195.05636673656397
summary_gpt4o_3_1,50,184,5.119932682
summary_gpt4o_3_1,43,184,38.76947136950001
summary_gpt4o_3_1,57,184,8.933529382000014
summary_gpt4o_3_1,76,184,40.195396690500004
summary_gpt4o_3_1,36,184,19.064929947000003
summary_gpt4o_3_1,26,184,38.20197379640001
summary_gpt4o_3_1,63,184,43.45145715800001
summary_gpt4o_3_1,16,184,19.51057201900001
summary_gpt4o_3_1,24,184,25.11600931100001
summary_gpt4o_3_1,90,184,43.715240097
summary_gpt4o_3_1,10,184,45.90928923430001
summary_gpt4o_3_1,77,184,37.8661641478
summary_gpt4o_3_1,46,184,44.87608829800001
summary_gpt4o_3_1,78,184,11.32233306900001
summary_gpt4o_3_1,59,184,29.654416109400017
summary_gpt4o_3_1,39,184,30.922078024000008
summary_gpt4o_3_1,49,184,21.64771316570001
summary_gpt4o_3_1,74,184,29.889086098
summary_gpt4o_3_1,44,184,13.795794106600013
summary_gpt4o_3_1,84,184,24.259294983999993
summary_gpt4o_3_1,89,184,27.62750078500001
summary_gpt4o_3_1,37,184,36.1928711763
summary_gpt4o_3_1,15,184,48.997755973699995
summary_gpt4o_3_1,98,184,46.13340693550001
summary_gpt4o_69_1,50,3022,-8.689250500332951
summary_gpt4o_69_1,43,3022,31.450876912647026
summary_gpt4o_69_1,57,3022,42.49567025409702
summary_gpt4o_69_1,76,3022,30.01597473792701
summary_gpt4o_69_1,36,3022,-2.743049408852981
summary_gpt4o_69_1,26,3022,51.41907934774304
summary_gpt4o_69_1,63,3022,19.53649041920705
summary_gpt4o_69_1,16,3022,12.356118753465843
summary_gpt4o_69_1,24,3022,86.14339075655204
summary_gpt4o_69_1,90,3022,54.921996855307015
summary_gpt4o_69_1,10,3022,49.914623424857
summary_gpt4o_69_1,77,3022,99.36044473635701
